Time;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10
1;19512;27092;18447;30031;5593;46411;50274;28794;7,59;41,3
2;19452;26935;18523;29945;5541;46397;50104;28770;7,59;41,3
3;19454;26972;18428;29950;5557;46441;50166;28731;7,59;41,3
4;19535;26981;18485;29877;5596;46467;50165;28787;7,59;41,29
5;19373;26936;18376;29933;5612;46520;50178;28802;7,59;41,3
6;19523;26886;18389;29921;5552;46475;50152;28770;7,55;41,3
7;19480;26953;18475;29946;5558;46440;50179;28809;7,59;41,3
8;19432;26903;18417;29978;5616;46399;50198;28825;7,52;41,3
9;19431;26967;18419;29873;5620;46458;50214;28837;7,55;41,31
10;19452;26868;18351;29910;5621;46406;50222;28720;7,52;41,31
11;19466;26924;18366;29928;5562;46377;50136;28810;7,59;41,31
12;19429;26946;18386;29875;5584;46419;50208;28831;7,52;41,29
13;19428;26929;18350;29910;5680;46433;50154;28782;7,52;41,3
14;19396;26900;18339;29949;5516;46390;50217;28768;7,52;41,3
15;19382;26919;18496;29893;5568;46436;50127;28775;7,52;41,31
16;19381;26896;18420;29919;5567;46384;50161;28795;7,52;41,3
17;19419;26869;18440;29929;5620;46417;50166;28730;7,59;41,31
18;19375;26864;18373;29883;5590;46392;50214;28794;7,59;41,3
19;19391;26827;18393;29872;5524;46387;50227;28772;7,59;41,3
20;19408;26803;18414;29887;5589;46456;50116;28762;7,59;41,3
21;19393;26925;18417;29886;5643;46480;50158;28755;7,59;41,31
22;19400;26824;18404;29859;5575;46444;50178;28805;7,59;41,29
23;19389;26838;18426;29869;5621;46389;50097;28756;7,59;41,31
24;19412;26891;18419;29817;5653;46421;50143;28648;7,59;41,3
25;19331;26962;18439;29879;5642;46440;50165;28688;7,59;41,31
26;19365;27035;18447;29830;5577;46418;50097;28820;7,59;41,3
27;19495;26893;18360;29864;5574;46370;50190;28822;7,59;41,3
28;19365;26831;18375;29900;5646;46414;50206;28757;7,59;41,3
29;19411;26892;18414;29887;5542;46385;50230;28783;7,59;41,3
30;19389;26843;18464;29810;5635;46391;50103;28760;7,67;41,31
31;19448;27026;18434;29813;5623;46390;50093;28837;7,59;41,3
32;19453;27022;18504;29907;5552;46367;50165;28731;7,59;41,31
33;19367;26863;18548;29873;5551;46482;50207;28812;7,63;41,3
34;19421;26839;18566;29890;5640;46496;50261;28832;7,67;41,31
35;19475;27009;18551;29862;5593;46518;50205;28791;7,67;41,31
36;19436;26939;18573;29881;5460;46465;50191;28873;7,67;41,3
37;19465;26828;18540;29884;5641;46446;50274;28824;7,67;41,3
38;19468;26909;18586;29852;5644;46460;50208;28850;7,67;41,31
39;19509;26897;18577;29927;5619;46446;50168;28846;7,67;41,31
40;19413;26854;18571;29929;5597;46447;50227;28812;7,67;41,29
41;19496;26924;18547;29915;5613;46440;50212;28779;7,67;41,3
42;19460;26883;18615;29850;5696;46445;50212;28787;7,67;41,31
43;19425;26868;18562;29934;5531;46498;50162;28763;7,67;41,31
44;19474;26882;18548;29851;5559;46439;50217;28862;7,67;41,31
45;19450;26993;18490;29864;5654;46491;50244;28794;7,67;41,32
46;19401;27029;18491;29857;5580;46500;50225;28826;7,67;41,31
47;19460;26999;18445;29929;5599;46468;50182;28866;7,59;41,31
48;19552;26906;18573;29891;5641;46433;50192;28809;7,63;41,32
49;19520;26892;18522;29971;5638;46455;50195;28879;7,63;41,31
50;19507;26951;18550;29888;5524;46390;50315;28831;7,67;41,32
51;19499;26990;18517;29932;5677;46416;50179;28844;7,63;41,31
52;19535;26884;18529;29839;5575;46437;50268;28896;7,67;41,32
53;19501;26830;18596;29866;5639;46412;50165;28869;7,67;41,32
54;19509;26832;18582;29918;5663;46406;50177;28891;7,63;41,32
55;19562;27008;18632;29919;5552;46476;50213;28814;7,67;41,31
56;19514;26918;18495;29916;5614;46424;50235;28867;7,67;41,31
57;19513;26823;18538;29932;5575;46498;50300;28873;7,67;41,3
58;19512;26934;18578;29969;5584;46604;50256;28827;7,67;41,32
59;19557;26914;18583;29927;5625;46439;50180;28831;7,67;41,31
60;19586;26932;18652;29876;5571;46480;50263;28810;7,67;41,31
61;19575;26957;18650;29919;5657;46468;50240;28800;7,67;41,32
