Time;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;Humidity;Temperature
1.0;19512.0;27092.0;18447.0;30031.0;5593.0;46411.0;50274.0;28794.0;7.59;41.3;;;;;;;;;
2.0;19452.0;26935.0;18523.0;29945.0;5541.0;46397.0;50104.0;28770.0;7.59;41.3;;;;;;;;;
3.0;19454.0;26972.0;18428.0;29950.0;5557.0;46441.0;50166.0;28731.0;7.59;41.3;;;;;;;;;
4.0;19535.0;26981.0;18485.0;29877.0;5596.0;46467.0;50165.0;28787.0;7.59;41.29;;;;;;;;;
5.0;19373.0;26936.0;18376.0;29933.0;5612.0;46520.0;50178.0;28802.0;7.59;41.3;;;;;;;;;
6.0;19523.0;26886.0;18389.0;29921.0;5552.0;46475.0;50152.0;28770.0;7.55;41.3;;;;;;;;;
7.0;19480.0;26953.0;18475.0;29946.0;5558.0;46440.0;50179.0;28809.0;7.59;41.3;;;;;;;;;
8.0;19432.0;26903.0;18417.0;29978.0;5616.0;46399.0;50198.0;28825.0;7.52;41.3;;;;;;;;;
9.0;19431.0;26967.0;18419.0;29873.0;5620.0;46458.0;50214.0;28837.0;7.55;41.31;;;;;;;;;
10.0;19452.0;26868.0;18351.0;29910.0;5621.0;46406.0;50222.0;28720.0;7.52;41.31;;;;;;;;;
11.0;19466.0;26924.0;18366.0;29928.0;5562.0;46377.0;50136.0;28810.0;7.59;41.31;;;;;;;;;
12.0;19429.0;26946.0;18386.0;29875.0;5584.0;46419.0;50208.0;28831.0;7.52;41.29;;;;;;;;;
13.0;19428.0;26929.0;18350.0;29910.0;5680.0;46433.0;50154.0;28782.0;7.52;41.3;;;;;;;;;
14.0;19396.0;26900.0;18339.0;29949.0;5516.0;46390.0;50217.0;28768.0;7.52;41.3;;;;;;;;;
15.0;19382.0;26919.0;18496.0;29893.0;5568.0;46436.0;50127.0;28775.0;7.52;41.31;;;;;;;;;
16.0;19381.0;26896.0;18420.0;29919.0;5567.0;46384.0;50161.0;28795.0;7.52;41.3;;;;;;;;;
17.0;19419.0;26869.0;18440.0;29929.0;5620.0;46417.0;50166.0;28730.0;7.59;41.31;;;;;;;;;
18.0;19375.0;26864.0;18373.0;29883.0;5590.0;46392.0;50214.0;28794.0;7.59;41.3;;;;;;;;;
19.0;19391.0;26827.0;18393.0;29872.0;5524.0;46387.0;50227.0;28772.0;7.59;41.3;;;;;;;;;
20.0;19408.0;26803.0;18414.0;29887.0;5589.0;46456.0;50116.0;28762.0;7.59;41.3;;;;;;;;;
21.0;19393.0;26925.0;18417.0;29886.0;5643.0;46480.0;50158.0;28755.0;7.59;41.31;;;;;;;;;
22.0;19400.0;26824.0;18404.0;29859.0;5575.0;46444.0;50178.0;28805.0;7.59;41.29;;;;;;;;;
23.0;19389.0;26838.0;18426.0;29869.0;5621.0;46389.0;50097.0;28756.0;7.59;41.31;;;;;;;;;
24.0;19412.0;26891.0;18419.0;29817.0;5653.0;46421.0;50143.0;28648.0;7.59;41.3;;;;;;;;;
25.0;19331.0;26962.0;18439.0;29879.0;5642.0;46440.0;50165.0;28688.0;7.59;41.31;;;;;;;;;
26.0;19365.0;27035.0;18447.0;29830.0;5577.0;46418.0;50097.0;28820.0;7.59;41.3;;;;;;;;;
27.0;19495.0;26893.0;18360.0;29864.0;5574.0;46370.0;50190.0;28822.0;7.59;41.3;;;;;;;;;
28.0;19365.0;26831.0;18375.0;29900.0;5646.0;46414.0;50206.0;28757.0;7.59;41.3;;;;;;;;;
29.0;19411.0;26892.0;18414.0;29887.0;5542.0;46385.0;50230.0;28783.0;7.59;41.3;;;;;;;;;
30.0;19389.0;26843.0;18464.0;29810.0;5635.0;46391.0;50103.0;28760.0;7.67;41.31;;;;;;;;;
31.0;19448.0;27026.0;18434.0;29813.0;5623.0;46390.0;50093.0;28837.0;7.59;41.3;;;;;;;;;
32.0;19453.0;27022.0;18504.0;29907.0;5552.0;46367.0;50165.0;28731.0;7.59;41.31;;;;;;;;;
33.0;19367.0;26863.0;18548.0;29873.0;5551.0;46482.0;50207.0;28812.0;7.63;41.3;;;;;;;;;
34.0;19421.0;26839.0;18566.0;29890.0;5640.0;46496.0;50261.0;28832.0;7.67;41.31;;;;;;;;;
35.0;19475.0;27009.0;18551.0;29862.0;5593.0;46518.0;50205.0;28791.0;7.67;41.31;;;;;;;;;
36.0;19436.0;26939.0;18573.0;29881.0;5460.0;46465.0;50191.0;28873.0;7.67;41.3;;;;;;;;;
37.0;19465.0;26828.0;18540.0;29884.0;5641.0;46446.0;50274.0;28824.0;7.67;41.3;;;;;;;;;
38.0;19468.0;26909.0;18586.0;29852.0;5644.0;46460.0;50208.0;28850.0;7.67;41.31;;;;;;;;;
39.0;19509.0;26897.0;18577.0;29927.0;5619.0;46446.0;50168.0;28846.0;7.67;41.31;;;;;;;;;
40.0;19413.0;26854.0;18571.0;29929.0;5597.0;46447.0;50227.0;28812.0;7.67;41.29;;;;;;;;;
41.0;19496.0;26924.0;18547.0;29915.0;5613.0;46440.0;50212.0;28779.0;7.67;41.3;;;;;;;;;
42.0;19460.0;26883.0;18615.0;29850.0;5696.0;46445.0;50212.0;28787.0;7.67;41.31;;;;;;;;;
43.0;19425.0;26868.0;18562.0;29934.0;5531.0;46498.0;50162.0;28763.0;7.67;41.31;;;;;;;;;
44.0;19474.0;26882.0;18548.0;29851.0;5559.0;46439.0;50217.0;28862.0;7.67;41.31;;;;;;;;;
45.0;19450.0;26993.0;18490.0;29864.0;5654.0;46491.0;50244.0;28794.0;7.67;41.32;;;;;;;;;
46.0;19401.0;27029.0;18491.0;29857.0;5580.0;46500.0;50225.0;28826.0;7.67;41.31;;;;;;;;;
