Time;R1;R2;R3;R4;R5;R6;R7;R8;Humidity;Temperature;Indexes
1;15502;28174;16008;27170;6188;46330;45821;30681;9.32;41.96;Air
2;15485;28268;15978;27194;6292;46383;45814;30766;9.25;41.98;Air
3;15518;28220;15981;27098;6224;46336;45797;30677;9.21;41.96;Air
4;15524;28262;15971;27146;6277;46337;45772;30728;9.25;41.96;Air
5;15487;28215;15965;27167;6316;46366;45813;30729;9.17;41.98;Air
6;15425;28239;15849;27096;6236;46316;45734;30662;9.21;41.97;Air
7;15513;28212;15902;27135;6248;46403;45821;30756;9.25;41.97;Air
8;15430;28165;15909;27079;6279;46386;45804;30734;9.21;41.98;Air
9;15402;28153;15890;27160;6223;46410;45764;30691;9.17;41.99;Air
10;15395;28167;15866;27139;6288;46326;45744;30737;9.17;41.98;Air
11;15427;28198;15761;27079;6277;46376;45708;30724;9.21;41.98;Air
12;15396;28079;15752;27059;6206;46350;45783;30648;9.17;41.98;Air
13;15410;28156;15793;27132;6227;46317;45721;30670;9.25;41.99;Air
14;15358;28024;15736;27012;6280;46341;45726;30696;9.17;41.99;Air
15;15332;28189;15697;27108;6245;46343;45689;30573;9.17;41.98;Air
16;15315;28135;15766;27039;6309;46391;45753;30619;9.17;42.0;Air
17;15288;28090;15749;27061;6264;46352;45747;30591;9.17;41.99;Air
18;15307;28069;15713;27126;6318;46304;45615;30641;9.25;41.99;Air
19;15317;28089;15660;27018;6224;46371;45613;30637;9.17;42.0;Air
20;15267;28162;15671;27025;6252;46282;45642;30564;9.17;42.0;Air
21;15199;28028;15764;27075;6239;46307;45636;30508;9.25;42.01;Air
22;15259;28024;15726;27040;6287;46311;45680;30544;9.17;42.0;Air
23;15190;28019;15715;27043;6254;46335;45663;30582;9.21;42.0;Air
24;15226;28009;15668;27003;6245;46346;45688;30514;9.21;42.01;Air
25;15239;28002;15671;27042;6211;46287;45635;30619;9.18;42.01;Air
26;15257;28017;15669;27087;6236;46226;45615;30607;9.25;42.01;Air
27;15170;28018;15625;27011;6212;46259;45536;30506;9.25;42.0;Air
28;15237;28067;15683;27031;6216;46275;45586;30557;9.18;42.01;Air
29;15219;28008;15701;26966;6340;46268;45608;30527;9.25;42.01;Air
30;15117;28026;15646;27008;6248;46246;45614;30487;9.18;42.01;Air
31;15141;27926;15625;26935;6166;46219;45637;30595;9.18;42.01;Air
32;15115;27958;15636;27029;6266;46196;45632;30546;9.25;42.02;Air
33;15096;27980;15661;26994;6279;46176;45536;30574;9.25;42.01;Air
34;15209;27974;15616;26934;6213;46247;45569;30513;9.25;42.0;Air
35;15143;27938;15631;26986;6169;46235;45568;30519;9.25;42.01;Air
36;15125;27955;15602;26940;6246;46213;45581;30520;9.25;42.02;Air
37;15089;28008;15642;26965;6288;46260;45506;30465;9.21;42.0;Air
38;15084;27914;15606;26903;6297;46248;45534;30466;9.18;42.01;Air
39;15050;27963;15568;26996;6278;46162;45578;30399;9.25;42.02;Air
40;15011;27989;15665;26982;6177;46190;45503;30473;9.25;42.02;Air
41;15107;27881;15563;26987;6239;46268;45485;30448;9.21;42.01;Air
42;15094;27926;15640;26919;6227;46147;45573;30485;9.25;42.03;Air
43;15101;27925;15601;26910;6201;46204;45514;30457;9.21;42.02;Air
44;15070;27931;15651;26909;6202;46141;45544;30339;9.18;42.02;Air
45;15009;27968;15568;26936;6215;46180;45447;30436;9.18;42.02;Air
46;15035;27943;15469;26918;6209;46203;45548;30394;9.18;42.02;Air
47;14995;27955;15600;26963;6271;46167;45476;30387;9.18;42.02;Air
48;15014;27913;15587;26893;6177;46158;45493;30404;9.25;42.03;Air
49;14994;27990;15594;26972;6202;46133;45475;30380;9.18;42.04;Air
50;14898;27951;15544;26878;6215;46208;45522;30366;9.21;42.03;Air
51;14995;27855;15500;26954;6214;46161;45470;30292;9.18;42.03;Air
52;14958;27913;15585;26938;6228;46128;45466;30387;9.25;42.03;Air
53;14981;27882;15609;26948;6232;46195;45435;30390;9.21;42.03;Air
54;15009;27848;15572;26852;6267;46164;45491;30346;9.25;42.02;Air
55;15102;27898;15553;26908;6224;46191;45454;30397;9.25;42.03;Air
56;14953;27867;15545;26888;6198;46195;45507;30340;9.18;42.03;Air
57;14984;27811;15590;26803;6240;46131;45497;30391;9.18;42.03;Air
58;14949;27890;15601;26885;6272;46135;45511;30367;9.18;42.04;Air
59;14903;27915;15565;26894;6257;46148;45410;30389;9.18;42.04;Air
60;14890;27932;15567;26940;6200;46115;45412;30344;9.18;42.04;Air
61;14927;27885;15572;26879;6176;46165;45408;30341;9.18;42.04;Air
62;14945;27902;15609;26922;6170;46194;45440;30314;9.18;42.04;Air
63;14944;27885;15572;26865;6236;46213;45398;30367;9.18;42.04;Air
64;14914;27857;15592;26876;6171;46162;45431;30318;9.18;42.04;Air
65;14924;27891;15640;26911;6164;46144;45434;30258;9.18;42.05;Air
66;14968;27865;15527;26859;6236;46127;45385;30302;9.18;42.06;Air
67;14929;27810;15480;26832;6161;46174;45460;30233;9.18;42.04;Air
68;14861;27841;15516;26842;6199;46203;45409;30321;9.18;42.04;Air
69;14932;27765;15526;26833;6192;46196;45415;30297;9.18;42.04;Air
70;14901;27802;15576;26818;6261;46051;45335;30231;9.18;42.05;Air
71;14832;27732;15483;26830;6155;46089;45351;30274;9.18;42.05;Air
72;14925;27714;15432;26846;6169;46072;45433;30264;9.18;42.05;Air
73;14944;27672;15508;26744;6169;46002;45374;30293;9.18;42.05;Air
74;14871;27693;15567;26868;6257;46013;45408;30341;9.18;42.05;Air
75;14868;27794;15529;26870;6208;46081;45361;30266;9.18;42.06;Air
