Time;R1;R2;R3;R4;R5;R6;R7;R8;Humidity;Temperature
1;15452;26759;15482;27571;5733;39391;45027;23452;7.16;46.92
2;15367;26620;15405;27607;5753;39370;45031;23477;7.16;46.92
3;15443;26714;15467;27637;5715;39437;45059;23508;7.16;46.91
4;15409;26686;15529;27602;5727;39406;45138;23460;7.16;46.9
5;15468;26716;15468;27596;5676;39427;45035;23480;7.16;46.91
6;15441;26683;15524;27432;5686;39424;45011;23398;7.16;46.91
7;15428;26686;15523;27622;5681;39487;45087;23445;7.16;46.91
8;15397;26636;15557;27573;5746;39399;45030;23438;7.16;46.9
9;15413;26676;15540;27553;5690;39446;45088;23485;7.16;46.92
10;15478;26721;15502;27621;5764;39504;45145;23475;7.16;46.92
11;15455;26724;15456;27502;5718;39410;45081;23412;7.16;46.91
12;15454;26655;15590;27583;5752;39486;45073;23354;7.16;46.9
13;15362;26681;15581;27533;5725;39443;45102;23454;7.16;46.9
14;15416;26778;15508;27597;5694;39474;45113;23504;7.16;46.92
15;15471;26727;15538;27550;5655;39440;45094;23426;7.16;46.9
16;15406;26674;15506;27609;5712;39404;45090;23493;7.16;46.91
17;15408;26673;15508;27643;5671;39418;45108;23474;7.16;46.9
18;15444;26728;15568;27555;5661;39421;45147;23453;7.16;46.91
19;15440;26722;15538;27565;5737;39398;45084;23524;7.16;46.9
20;15351;26731;15562;27592;5738;39447;45118;23417;7.16;46.91
21;15448;26720;15553;27598;5723;39461;45088;23485;7.16;46.91
22;15441;26726;15534;27597;5742;39427;45163;23478;7.16;46.92
23;15423;26691;15488;27620;5666;39437;45105;23429;7.16;46.91
24;15348;26808;15467;27620;5744;39427;45149;23504;7.16;46.91
25;15468;26698;15516;27543;5734;39415;45007;23396;7.16;46.91
26;15491;26736;15532;27657;5744;39476;45094;23436;7.16;46.91
27;15474;26741;15507;27582;5734;39419;45085;23524;7.16;46.9
28;15481;26748;15524;27565;5724;39413;45125;23463;7.16;46.91
29;15458;26676;15456;27615;5771;39464;45063;23478;7.16;46.91
30;15532;26729;15515;27700;5767;39484;45079;23470;7.16;46.92
31;15478;26659;15528;27587;5703;39444;45125;23500;7.2;46.9
32;15454;26748;15583;27597;5716;39522;45117;23420;7.16;46.9
33;15523;26750;15506;27582;5748;39414;45028;23412;7.16;46.91
34;15447;26747;15586;27589;5722;39465;45092;23448;7.2;46.91
35;15486;26709;15575;27580;5734;39494;45144;23466;7.16;46.92
36;15516;26743;15526;27685;5743;39437;45165;23472;7.23;46.9
37;15457;26790;15597;27589;5651;39467;45089;23519;7.23;46.91
38;15454;26567;15488;27602;5698;39427;45116;23451;7.2;46.9
39;15473;26704;15549;27582;5776;39449;45092;23486;7.23;46.91
40;15561;26649;15587;27611;5785;39371;45106;23442;7.23;46.9
41;15458;26746;15601;27658;5699;39418;45107;23483;7.16;46.9
42;15446;26694;15613;27642;5684;39479;45096;23497;7.16;46.9
43;15466;26648;15552;27580;5748;39430;45118;23418;7.16;46.91
44;15536;26678;15501;27634;5721;39447;45117;23478;7.16;46.91
45;15513;26700;15453;27637;5708;39443;45088;23514;7.16;46.91
46;15475;26719;15525;27684;5740;39445;45079;23573;7.16;46.91
47;15493;26751;15542;27590;5717;39417;45102;23393;7.16;46.91
48;15446;26714;15507;27673;5721;39416;45147;23479;7.16;46.91
49;15502;26771;15523;27668;5768;39419;45031;23562;7.16;46.9
50;15541;26731;15485;27670;5673;39423;45128;23543;7.16;46.9
51;15540;26744;15490;27601;5733;39471;45107;23511;7.16;46.91
52;15580;26765;15506;27544;5699;39445;45067;23463;7.16;46.91
53;15490;26745;15504;27600;5759;39496;45120;23541;7.16;46.9
54;15466;26781;15562;27596;5761;39433;45114;23457;7.16;46.9
55;15434;26744;15537;27687;5726;39382;45079;23517;7.16;46.9
56;15498;26741;15505;27683;5699;39418;45182;23476;7.16;46.9
57;15491;26724;15572;27618;5719;39414;45081;23436;7.16;46.9
58;15514;26733;15533;27616;5641;39430;45153;23529;7.16;46.9
59;15484;26760;15513;27635;5710;39459;45198;23501;7.16;46.9
60;15514;26738;15550;27692;5772;39551;45106;23512;7.16;46.9
61;15530;26758;15542;27606;5704;39497;45107;23476;7.16;46.9
62;15457;26692;15479;27679;5757;39564;45099;23447;7.16;46.9
63;15510;26742;15522;27620;5776;39559;45141;23471;7.16;46.9
64;15508;26765;15545;27708;5701;39595;45085;23523;7.16;46.9
65;15520;26791;15510;27716;5752;39551;45213;23479;7.16;46.9
66;15502;26762;15524;27676;5742;39528;45147;23539;7.16;46.9
67;15512;26736;15503;27657;5674;39544;45134;23547;7.16;46.9
68;15468;26743;15516;27614;5750;39389;45126;23499;7.16;46.91
69;15453;26743;15554;27652;5738;39472;45131;23484;7.16;46.91
