Time, min;R1;R2;R3;R4;R5;R6;R7;R8;Humidity;Temperature
1.003333333;15536;26678;15501;27634;5721;39447;45117;23478;7.16;46.91
1.073333333;15493;26751;15542;27590;5717;39417;45102;23393;7.16;46.91
1.143333333;15541;26731;15485;27670;5673;39423;45128;23543;7.16;46.9
1.213333333;15490;26745;15504;27600;5759;39496;45120;23541;7.16;46.9
1.283333333;15498;26741;15505;27683;5699;39418;45182;23476;7.16;46.9
1.353333333;15484;26760;15513;27635;5710;39459;45198;23501;7.16;46.9
1.423333333;15457;26692;15479;27679;5757;39564;45099;23447;7.16;46.9
1.493333333;15520;26791;15510;27716;5752;39551;45213;23479;7.16;46.9
1.563333333;15468;26743;15516;27614;5750;39389;45126;23499;7.16;46.91
1.633333333;15527;26754;15514;27600;5687;39458;45071;23477;7.16;46.91
1.703333333;15510;26773;15544;27636;5727;39529;45129;23592;7.16;46.9
1.773333333;15468;26749;15504;27676;5732;39529;45179;23530;7.16;46.91
1.843333333;15429;26701;15527;27705;5758;39455;45066;23442;7.16;46.92
1.913333333;15494;26807;15492;27711;5797;39499;45101;23529;7.16;46.91
1.983333333;15482;26776;15566;27694;5749;39405;45099;23489;7.16;46.91
1.003333333;15536;26678;15501;27634;5721;39447;45117;23478;7.16;46.91
1.073333333;15493;26751;15542;27590;5717;39417;45102;23393;7.16;46.91
1.143333333;15541;26731;15485;27670;5673;39423;45128;23543;7.16;46.9
1.213333333;15490;26745;15504;27600;5759;39496;45120;23541;7.16;46.9
1.283333333;15498;26741;15505;27683;5699;39418;45182;23476;7.16;46.9
1.353333333;15484;26760;15513;27635;5710;39459;45198;23501;7.16;46.9
1.423333333;15457;26692;15479;27679;5757;39564;45099;23447;7.16;46.9
1.493333333;15520;26791;15510;27716;5752;39551;45213;23479;7.16;46.9
1.563333333;15468;26743;15516;27614;5750;39389;45126;23499;7.16;46.91
1.633333333;15527;26754;15514;27600;5687;39458;45071;23477;7.16;46.91
1.703333333;15510;26773;15544;27636;5727;39529;45129;23592;7.16;46.9
1.773333333;15468;26749;15504;27676;5732;39529;45179;23530;7.16;46.91
1.843333333;15429;26701;15527;27705;5758;39455;45066;23442;7.16;46.92
1.913333333;15494;26807;15492;27711;5797;39499;45101;23529;7.16;46.91
1.983333333;15482;26776;15566;27694;5749;39405;45099;23489;7.16;46.91
1;15452;26759;15482;27571;5733;39391;45027;23452;7.16;46.92
1;15452;26759;15482;27571;5733;39391;45027;23452;7.16;46.92
1;15452;26759;15482;27571;5733;39391;45027;23452;7.16;46.92
1;15452;26759;15482;27571;5733;39391;45027;23452;7.16;46.92
1;15452;26759;15482;27571;5733;39391;45027;23452;7.16;46.92
1;15452;26759;15482;27571;5733;39391;45027;23452;7.16;46.92
1;15452;26759;15482;27571;5733;39391;45027;23452;7.16;46.92
1000;15731;25017;16391;27634;5968;39390;45294;23747;7.76;46.93;NO2 5ppm
1003;15653;25025;16425;27753;5984;39385;45278;23757;7.76;46.94;NO2 5ppm
1006;15667;25011;16392;27709;6021;39274;45235;23660;7.76;46.93;NO2 5ppm
1009;15616;24953;16424;27766;6034;39384;45305;23731;7.76;46.93;NO2 5ppm
1012;15711;24964;16351;27637;5985;39419;45241;23720;7.76;46.93;NO2 5ppm
1015;15674;24939;16357;27729;5939;39426;45278;23727;7.76;46.93;NO2 5ppm
1018;15681;24965;16382;27665;5964;39338;45252;23706;7.76;46.93;NO2 5ppm
1021;15676;24834;16277;27718;6014;39392;45263;23700;7.76;46.93;NO2 5ppm
1024;15779;24914;16375;27689;5966;39275;45212;23685;7.76;46.94;NO2 5ppm
1027;15700;24903;16309;27672;5962;39308;45412;23687;7.76;46.94;NO2 5ppm
1030;15627;24868;16351;27462;5953;39280;45236;23719;7.76;46.94;NO2 5ppm
1033;15626;24838;16313;27659;5981;39255;45198;23667;7.76;46.94;NO2 5ppm
1036;15711;24776;16307;27641;5980;39255;45271;23716;7.76;46.93;NO2 5ppm
1039;15665;24788;16324;27616;5966;39251;45246;23703;7.76;46.94;NO2 5ppm
1042;15720;24780;16306;27692;5994;39242;45272;23659;7.76;46.93;NO2 5ppm
1045;15687;24822;16342;27731;5943;39288;45336;23612;7.76;46.95;NO2 5ppm
1048;15691;24699;16254;27686;5987;39276;45286;23708;7.76;46.93;NO2 5ppm
1051;15694;24754;16249;27653;6041;39231;45313;23643;7.76;46.94;NO2 5ppm
1054;15678;24635;16294;27606;5938;39311;45182;23674;7.76;46.92;NO2 5ppm
1057;15699;24699;16284;27495;5958;39262;45160;23622;7.76;46.94;NO2 5ppm
1060;15676;24622;16280;27650;5997;39311;45267;23641;7.76;46.93;NO2 5ppm
1063;15664;24632;16331;27725;5924;39301;45230;23644;7.76;46.93;NO2 5ppm
1066;15710;24642;16350;27683;6001;39189;45145;23569;7.76;46.92;NO2 5ppm
1069;15714;24646;16307;27635;5922;39296;45256;23613;7.76;46.93;NO2 5ppm
1072;15614;24564;16304;27659;5945;39277;45287;23675;7.76;46.94;NO2 5ppm
1075;15686;24638;16244;27661;5967;39228;45218;23674;7.76;46.92;NO2 5ppm
1078;15698;24601;16325;27625;5989;39131;45238;23658;7.76;46.93;NO2 5ppm
1081;15684;24519;16316;27750;5938;39253;45240;23602;7.76;46.92;NO2 5ppm
1084;15701;24541;16315;27650;5951;39168;45222;23685;7.76;46.93;NO2 5ppm
1087;15637;24560;16315;27635;5980;39172;45245;23664;7.76;46.93;NO2 5ppm
1090;15704;24605;16340;27616;5944;39211;45196;23644;7.84;46.92;NO2 5ppm
1093;15687;24554;16456;27699;5908;39236;45337;23643;7.84;46.93;NO2 5ppm
1096;15747;24549;16436;27766;6068;39200;45349;23640;7.84;46.94;NO2 5ppm
1099;15714;24563;16385;27661;5972;39229;45264;23672;7.84;46.94;NO2 5ppm
1102;15693;24610;16374;27625;6000;39204;45237;23651;7.84;46.94;NO2 5ppm
1105;15725;24524;16398;27671;5992;39185;45242;23637;7.84;46.94;NO2 5ppm
1108;15727;24439;16388;27611;5980;39198;45313;23753;7.84;46.94;NO2 5ppm
1111;15765;24495;16325;27736;6002;39121;45336;23715;7.84;46.93;NO2 5ppm
1114;15790;24463;16316;27654;6035;39188;45309;23698;7.76;46.94;NO2 5ppm
1117;15693;24533;16279;27736;5975;39137;45191;23600;7.8;46.93;NO2 5ppm
1120;15692;24512;16355;27700;5964;39215;45377;23737;7.8;46.93;NO2 5ppm
1123;15742;24510;16378;27616;6027;39194;45328;23691;7.84;46.93;NO2 5ppm
1126;15789;24516;16362;27735;5954;39239;45326;23614;7.84;46.94;NO2 5ppm
1129;15780;24475;16377;27717;5971;39262;45262;23681;7.84;46.94;NO2 5ppm
1132;15763;24413;16370;27633;6013;39242;45189;23642;7.84;46.95;NO2 5ppm
1135;15816;24448;16353;27732;6070;39163;45351;23699;7.76;46.93;NO2 5ppm
1138;15762;24393;16287;27750;6020;39175;45328;23689;7.76;46.94;NO2 5ppm
1141;15733;24422;16275;27678;5998;39187;45314;23666;7.76;46.94;Air
1144;15797;24372;16342;27697;5978;39245;45278;23557;7.76;46.95;Air
1147;15761;24340;16377;27670;6011;39137;45258;23666;7.76;46.94;Air
1150;15746;24350;16341;27714;5987;39104;45292;23608;7.76;46.94;Air
1153;15768;24305;16317;27709;5920;39141;45292;23629;7.76;46.95;Air
1156;15693;24326;16211;27751;6023;39115;45244;23642;7.76;46.94;Air
1159;15705;24258;16310;27697;5977;39144;45297;23624;7.76;46.93;Air
1162;15751;24373;16283;27597;6042;39131;45310;23644;7.76;46.94;Air
1165;15708;24336;16216;27737;6052;39165;45332;23613;7.76;46.95;Air
1168;15721;24334;16274;27646;5954;39144;45310;23674;7.84;46.95;Air
1171;15824;24272;16315;27715;5923;39193;45267;23713;7.84;46.95;Air
1174;15734;24278;16370;27703;5965;39122;45291;23684;7.84;46.95;Air
1177;15784;24257;16291;27648;5971;39182;45233;23602;7.84;46.95;Air
1180;15758;24271;16246;27679;5955;39227;45326;23687;7.8;46.96;Air
1183;15791;24281;16276;27762;5997;39087;45383;23688;7.84;46.96;Air
1186;15753;24343;16310;27695;6055;39134;45297;23665;7.84;46.96;Air
1189;15799;24335;16325;27694;5973;39226;45297;23634;7.84;46.95;Air
1192;15727;24226;16312;27701;5920;39143;45292;23587;7.84;46.95;Air
1195;15774;24248;16308;27673;6014;39045;45330;23615;7.84;46.95;Air
1198;15726;24239;16343;27757;6031;39117;45391;23660;7.84;46.95;Air
1201;15750;24285;16275;27671;5932;39203;45287;23715;7.84;46.96;Air
1204;15784;24259;16292;27761;5962;39124;45268;23603;7.84;46.95;Air
